transaction_amount,transaction_type,account_age_days,location,device_type,is_fraud
20.58500368707837,purchase,1754,international,web,0
74.6951582740636,purchase,2762,domestic,mobile,0
48.89445714095118,purchase,642,domestic,mobile,0
1.8119501455745992,purchase,3017,domestic,web,0
43.03299643822845,purchase,1337,domestic,mobile,0
14.215254459727674,purchase,2630,domestic,web,0
7.954093965741799,purchase,1558,domestic,web,0
51.46980999199005,purchase,927,domestic,mobile,0
31.725456788074368,purchase,2639,domestic,mobile,0
4.242437529015604,purchase,2019,domestic,web,0
24.564689738889044,purchase,560,domestic,mobile,0
162.74792454283363,purchase,314,domestic,mobile,0
17.68108039088484,purchase,632,domestic,web,0
21.73036073534379,purchase,2794,domestic,mobile,0
8.799126053415916,transfer,2314,domestic,mobile,0
13.308453853426471,purchase,247,domestic,mobile,0
33.924564633367986,purchase,248,domestic,web,0
300.83214475177533,transfer,58,international,web,1
37.459973255280374,purchase,3283,domestic,web,0
25.73287095933742,purchase,1708,domestic,mobile,0
79.04169902082741,transfer,99,domestic,web,1
6.104596365140864,purchase,3413,domestic,mobile,0
145.70733988268427,purchase,667,domestic,web,0
48.8755228980395,transfer,3458,domestic,web,0
67.66760571219642,purchase,2012,domestic,mobile,0
340.0418521113495,transfer,41,international,web,1
24.21185851424566,purchase,3645,domestic,mobile,0
26.529964319253207,purchase,3036,domestic,mobile,0
30.253045436561354,purchase,3167,domestic,mobile,0
53.53006354642002,purchase,1304,domestic,mobile,0
62.692464388838786,purchase,2874,domestic,mobile,0
5.911718817835568,purchase,2834,domestic,mobile,0
57.370248047861594,transfer,2157,international,mobile,0
93.22929970591488,cash_withdrawal,2558,domestic,ATM,0
99.83987186377354,purchase,3001,domestic,mobile,0
71.08889013113904,purchase,2099,domestic,mobile,0
51.23363810539973,transfer,2842,domestic,mobile,0
24.31459660493468,purchase,414,domestic,ATM,0
61.797063803355975,transfer,2556,domestic,web,0
26.552924991185595,purchase,1667,domestic,mobile,0
2.5283088405979743,purchase,852,domestic,ATM,0
82.61657864064384,purchase,1415,domestic,mobile,0
13.289262985009007,transfer,2015,domestic,mobile,0
0.9200422291350013,cash_withdrawal,2834,domestic,mobile,0
23.092934526780684,purchase,1803,domestic,mobile,0
29.004542129269918,transfer,1438,domestic,mobile,0
11.108431699845903,purchase,3090,domestic,web,0
61.06258569092443,cash_withdrawal,652,domestic,web,0
30.291381554346426,purchase,1269,domestic,web,0
134.2316171793108,purchase,2985,domestic,web,0
10.273352268225352,transfer,1313,domestic,mobile,0
44.31177316238579,transfer,799,domestic,mobile,0
52.272236948028784,purchase,2757,domestic,web,0
135.61449216118885,purchase,3587,domestic,mobile,0
69.50303190493369,purchase,1381,domestic,mobile,0
22.262740415425338,purchase,2714,domestic,mobile,0
36.563328435297365,purchase,2209,domestic,mobile,0
41.35550540448222,purchase,1414,international,web,0
33.43519918938111,transfer,2419,domestic,mobile,0
40.20404515374513,purchase,1779,domestic,mobile,0
17.90262082141199,transfer,3565,domestic,mobile,0
16.071985741875235,purchase,2128,domestic,web,0
39.27503541189623,purchase,495,domestic,mobile,0
70.43745737692917,purchase,2125,domestic,mobile,0
51.58195008600443,transfer,1903,domestic,mobile,0
137.5418089144529,transfer,988,domestic,mobile,0
21.170676724698144,purchase,2286,domestic,web,0
73.15181517644781,purchase,3644,domestic,web,0
121.14834675295005,purchase,1018,domestic,mobile,0
34.41194749736848,purchase,235,domestic,web,0
335.9782080761886,purchase,3292,domestic,web,0
127.87346789228131,purchase,572,domestic,mobile,0
18.834808803283202,transfer,985,domestic,web,0
8.219862551402466,transfer,31,domestic,mobile,0
209.5154769341188,transfer,2406,domestic,mobile,0
2.0580421649504537,purchase,441,domestic,ATM,0
138.09608237564845,purchase,3531,domestic,mobile,0
21.67084355378382,purchase,2523,domestic,web,0
3.621111573684224,cash_withdrawal,1305,international,web,0
165.37774897341833,cash_withdrawal,1118,domestic,mobile,0
42.84799531268909,purchase,859,domestic,mobile,0
9.641101431927607,purchase,527,domestic,mobile,0
34.49093912080505,purchase,2484,domestic,ATM,0
39.99914802101498,purchase,958,domestic,web,0
36.49215048235608,purchase,2386,domestic,web,0
22.97882267765736,purchase,382,domestic,mobile,0
